Poultry (chicken) - Monthly Price (Australian Dollar per Kilogram),,
Month,Price,Change
Nov-02,2.42,-
Dec-02,2.41,-0.38%
Jan-03,2.35,-2.52%
Feb-03,2.34,-0.59%
Mar-03,2.34,0.07%
Apr-03,2.3,-1.81%
May-03,2.2,-4.52%
Jun-03,2.18,-0.56%
Jul-03,2.25,3.11%
Aug-03,2.32,3.03%
Sep-03,2.31,-0.21%
Oct-03,2.18,-5.98%
Nov-03,2.11,-3.05%
Dec-03,2.06,-2.40%
Jan-04,1.99,-3.41%
Feb-04,2.03,2.19%
Mar-04,2.15,5.69%
Apr-04,2.22,3.27%
May-04,2.4,8.12%
Jun-04,2.54,5.74%
Jul-04,2.49,-1.99%
Aug-04,2.49,0.26%
Sep-04,2.45,-1.56%
Oct-04,2.29,-6.56%
Nov-04,2.14,-6.48%
Dec-04,2.11,-1.42%
Jan-05,2.12,0.27%
Feb-05,2.09,-1.44%
Mar-05,2.07,-0.65%
Apr-05,2.11,1.73%
May-05,2.14,1.44%
Jun-05,2.14,-0.07%
Jul-05,2.19,2.54%
Aug-05,2.17,-1.19%
Sep-05,2.17,0.09%
Oct-05,2.18,0.34%
Nov-05,2.18,0.02%
Dec-05,2.11,-2.91%
Jan-06,2.05,-2.81%
Feb-06,2.07,0.54%
Mar-06,2.08,0.49%
Apr-06,2.03,-2.31%
May-06,1.97,-3.03%
Jun-06,2.05,4.44%
Jul-06,2.05,-0.12%
Aug-06,2.03,-0.96%
Sep-06,2.06,1.51%
Oct-06,2.04,-0.92%
Nov-06,1.97,-3.60%
Dec-06,1.95,-1.18%
Jan-07,2,2.91%
Feb-07,2.08,4.04%
Mar-07,2.12,1.83%
Apr-07,2.08,-1.78%
May-07,2.12,1.72%
Jun-07,2.11,-0.28%
Jul-07,2.06,-2.39%
Aug-07,2.16,4.81%
Sep-07,2.13,-1.62%
Oct-07,1.96,-8.01%
Nov-07,1.9,-2.75%
Dec-07,1.94,1.72%
Jan-08,1.93,-0.40%
Feb-08,1.91,-1.20%
Mar-08,1.93,1.45%
Apr-08,1.94,0.60%
May-08,1.94,-0.31%
Jun-08,1.99,2.53%
Jul-08,2.03,1.93%
Aug-08,2.21,9.31%
Sep-08,2.38,7.36%
Oct-08,2.82,18.77%
Nov-08,2.93,3.78%
Dec-08,2.88,-1.88%
Jan-09,2.83,-1.46%
Feb-09,2.94,3.88%
Mar-09,2.85,-3.25%
Apr-09,2.64,-7.29%
May-09,2.52,-4.59%
Jun-09,2.42,-3.99%
Jul-09,2.43,0.33%
Aug-09,2.29,-5.66%
Sep-09,2.17,-5.11%
Oct-09,2.01,-7.28%
Nov-09,1.97,-2.32%
Dec-09,2.01,1.95%
Jan-10,2,-0.24%
Feb-10,2.08,3.78%
Mar-10,2.03,-2.30%
Apr-10,2.03,0.03%
May-10,2.19,8.01%
Jun-10,2.25,2.76%
Jul-10,2.22,-1.47%
Aug-10,2.16,-2.86%
Sep-10,2.06,-4.38%
Oct-10,1.95,-5.53%
Nov-10,1.89,-2.77%
Dec-10,1.9,0.43%
Jan-11,1.88,-1.10%
Feb-11,1.86,-0.86%
Mar-11,1.88,0.90%
Apr-11,1.8,-4.27%
May-11,1.79,-0.75%
Jun-11,1.81,1.33%
Jul-11,1.79,-1.01%
Aug-11,1.85,3.24%
Sep-11,1.92,3.71%
Oct-11,1.93,0.71%
Nov-11,1.94,0.53%
Dec-11,1.96,0.72%
Jan-12,1.91,-2.17%
Feb-12,1.87,-2.11%
Mar-12,1.94,3.74%
Apr-12,1.99,2.35%
May-12,2.07,3.92%
Jun-12,2.08,0.72%
Jul-12,2.03,-2.52%
Aug-12,2,-1.68%
Sep-12,2.03,1.61%
Oct-12,2.05,1.05%
Nov-12,2.05,-0.20%
Dec-12,2.05,0.25%
Jan-13,2.11,3.06%
Feb-13,2.12,0.36%
Mar-13,2.24,5.36%
Apr-13,2.2,-1.36%
May-13,2.4,8.75%
Jun-13,2.55,6.15%
Jul-13,2.42,-4.94%
Aug-13,2.26,-6.75%
Sep-13,2.13,-5.54%
Oct-13,2.06,-3.37%
Nov-13,2.17,5.40%
Dec-13,2.3,6.16%
Jan-14,2.38,3.23%
Feb-14,2.25,-5.24%
Mar-14,2.49,10.53%
Apr-14,2.56,2.58%
May-14,2.75,7.58%
Jun-14,2.72,-0.95%
Jul-14,2.61,-4.21%
Aug-14,2.44,-6.46%
Sep-14,2.6,6.74%
Oct-14,2.69,3.14%
Nov-14,2.67,-0.71%
Dec-14,2.69,0.85%
Jan-15,2.75,2.14%
Feb-15,2.61,-5.13%
Mar-15,2.78,6.72%
Apr-15,2.98,7.13%
May-15,2.97,-0.22%
Jun-15,2.95,-0.70%
Jul-15,2.79,-5.43%
Aug-15,2.5,-10.62%
Sep-15,2.39,-4.07%
Oct-15,2.24,-6.64%
Nov-15,2.27,1.42%
Dec-15,2.4,5.90%
Jan-16,2.64,9.79%
Feb-16,2.48,-5.76%
Mar-16,2.48,-0.32%
Apr-16,2.52,1.75%
May-16,2.81,11.59%
Jun-16,2.91,3.44%
Jul-16,2.6,-10.44%
Aug-16,2.28,-12.48%
Sep-16,2.24,-1.75%
Oct-16,2.09,-6.78%
Nov-16,2.33,11.72%
Dec-16,2.53,8.37%
Jan-17,2.61,3.33%
Feb-17,2.53,-3.09%
Mar-17,2.79,10.34%
Apr-17,2.87,2.69%
May-17,3.13,9.32%
Jun-17,3.22,2.66%
Jul-17,3.01,-6.33%
Aug-17,2.77,-8.22%
Sep-17,2.65,-4.33%
Oct-17,2.54,-4.03%
Nov-17,2.57,1.20%
Dec-17,2.58,0.35%
Jan-18,2.61,1.13%
Feb-18,2.51,-3.64%
Mar-18,2.83,12.66%
Apr-18,3.07,8.27%
May-18,3.52,14.86%
Jun-18,3.63,3.08%
Jul-18,3.42,-5.90%
Aug-18,3.03,-11.29%
Sep-18,2.82,-7.00%
Oct-18,2.86,1.38%
Nov-18,2.8,-1.94%
Dec-18,2.9,3.61%
Jan-19,3.01,3.70%
Feb-19,2.93,-2.81%
Mar-19,2.92,-0.08%
Apr-19,2.94,0.48%
May-19,3.01,2.39%
Jun-19,2.98,-0.85%
Jul-19,2.85,-4.49%
Aug-19,2.81,-1.48%
Sep-19,2.72,-3.20%
Oct-19,2.72,0.33%
Nov-19,2.71,-0.67%
Dec-19,2.89,6.78%
Jan-20,3.01,4.27%
Feb-20,2.82,-6.47%
Mar-20,2.87,1.88%
Apr-20,2.02,-29.73%
May-20,2.34,15.76%
Jun-20,2.28,-2.57%
Jul-20,2.16,-5.05%
Aug-20,2.08,-3.57%
Sep-20,2.03,-2.46%
Oct-20,2.11,3.62%
Nov-20,2.34,11.30%
Dec-20,2.42,3.05%
Jan-21,2.34,-3.04%
Feb-21,2.33,-0.31%
Mar-21,2.45,4.98%
Apr-21,2.94,19.76%
May-21,3.05,4.01%
Jun-21,3.11,1.98%
Jul-21,3.21,3.05%
Aug-21,3.26,1.64%
Sep-21,3.26,-0.10%
Oct-21,3.15,-3.43%
Nov-21,3.19,1.53%
Dec-21,3.85,20.38%
Jan-22,4.01,4.36%
Feb-22,3.96,-1.42%
Mar-22,4.53,14.53%
Apr-22,4.96,9.55%
May-22,5.25,5.83%
Jun-22,5.22,-0.62%
Jul-22,5.16,-1.16%
Aug-22,4.77,-7.53%
Sep-22,4.96,3.87%
